1000    , 0       
11000   , 184     
21000   , 659     
31000   , 1470    
41000   , 2532    
51000   , 3980    
61000   , 5582    
71000   , 7545    
81000   , 10192   
91000   , 12498   
101000  , 15336   
111000  , 18478   
121000  , 22497   
131000  , 26116   
141000  , 30031   
151000  , 34729   
161000  , 39124   
171000  , 44605   
181000  , 49582   
191000  , 55616   
201000  , 61200   
211000  , 68321   
221000  , 75599   
231000  , 83866   
241000  , 92277   
251000  , 99906   
261000  , 108043  
