1000    , 0       
101000  , 15      
201000  , 30      
301000  , 46      
401000  , 56      
501000  , 73      
601000  , 87      
701000  , 100     
801000  , 116     
901000  , 128     
1001000 , 145     
1101000 , 156     
1201000 , 179     
1301000 , 194     
1401000 , 202     
1501000 , 206     
1601000 , 237     
1701000 , 234     
1801000 , 253     
1901000 , 269     
2001000 , 297     
2101000 , 327     
2201000 , 321     
2301000 , 379     
2401000 , 397     
2501000 , 355     
2601000 , 373     
2701000 , 423     
2801000 , 418     
2901000 , 430     
3001000 , 485     
3011000 , 422     
3111000 , 442     
3211000 , 470     
3311000 , 486     
3321000 , 479     
3421000 , 479     
3521000 , 510     
3621000 , 500     
3721000 , 512     
3821000 , 550     
3921000 , 555     
4021000 , 576     
4121000 , 594     
4221000 , 595     
4321000 , 614     
4421000 , 635     
4521000 , 639     
4621000 , 693     
4721000 , 678     
4821000 , 687     
4921000 , 697     
5021000 , 710     
5121000 , 727     
5221000 , 769     
5321000 , 759     
5421000 , 775     
5521000 , 807     
5621000 , 796     
5721000 , 816     
5821000 , 838     
5921000 , 858     
6021000 , 884     
6121000 , 877     
6221000 , 889     
6321000 , 928     
6421000 , 909     
6521000 , 924     
6621000 , 945     
6721000 , 959     
6821000 , 989     
6921000 , 973     
7021000 , 1015    
7121000 , 1034    
7221000 , 1045    
7321000 , 1075    
7421000 , 1054    
7521000 , 1075    
7621000 , 1185    
7721000 , 1096    
7821000 , 1122    
7921000 , 1144    
8021000 , 1126    
8121000 , 1158    
8221000 , 1183    
8321000 , 1194    
8421000 , 1202    
8521000 , 1222    
8621000 , 1229    
8721000 , 1236    
8821000 , 1250    
8921000 , 1272    
9021000 , 1271    
9121000 , 1293    
9221000 , 1310    
9321000 , 1354    
9421000 , 1358    
9521000 , 1357    
9621000 , 1364    
9721000 , 1395    
9821000 , 1419    
9921000 , 1437    
