1000    , 0       
101000  , 10      
201000  , 25      
301000  , 40      
401000  , 52      
501000  , 67      
601000  , 83      
701000  , 103     
801000  , 111     
901000  , 126     
1001000 , 142     
1101000 , 156     
1201000 , 170     
1301000 , 190     
1401000 , 213     
1501000 , 206     
1601000 , 229     
1701000 , 324     
1801000 , 285     
1901000 , 269     
2001000 , 319     
2101000 , 349     
2201000 , 324     
2301000 , 451     
2401000 , 458     
2501000 , 398     
2601000 , 427     
2701000 , 457     
2801000 , 449     
2901000 , 470     
3001000 , 507     
3011000 , 433     
3111000 , 475     
3211000 , 482     
3311000 , 489     
3321000 , 462     
3421000 , 474     
3521000 , 509     
3621000 , 498     
3721000 , 517     
3821000 , 578     
3921000 , 551     
4021000 , 562     
4121000 , 580     
4221000 , 590     
4321000 , 610     
4421000 , 622     
4521000 , 667     
4621000 , 665     
4721000 , 663     
4821000 , 683     
4921000 , 696     
5021000 , 706     
5121000 , 726     
5221000 , 747     
5321000 , 768     
5421000 , 779     
5521000 , 793     
5621000 , 800     
5721000 , 818     
5821000 , 819     
5921000 , 836     
6021000 , 859     
6121000 , 886     
6221000 , 876     
6321000 , 884     
6421000 , 931     
6521000 , 944     
6621000 , 943     
6721000 , 949     
6821000 , 968     
6921000 , 981     
7021000 , 991     
7121000 , 1017    
7221000 , 1069    
7321000 , 1032    
7421000 , 1090    
7521000 , 1066    
7621000 , 1082    
7721000 , 1109    
7821000 , 1112    
7921000 , 1178    
8021000 , 1121    
8121000 , 1126    
8221000 , 1173    
8321000 , 1185    
8421000 , 1181    
8521000 , 1213    
8621000 , 1225    
8721000 , 1225    
8821000 , 1252    
8921000 , 1276    
9021000 , 1283    
9121000 , 1283    
9221000 , 1311    
9321000 , 1324    
9421000 , 1339    
9521000 , 1358    
9621000 , 1374    
9721000 , 1369    
9821000 , 1409    
9921000 , 1421    
