1000    , 0       
11000   , 311     
21000   , 1218    
31000   , 2786    
41000   , 5009    
51000   , 7913    
61000   , 11342   
71000   , 15551   
81000   , 20456   
91000   , 25682   
101000  , 31614   
111000  , 38529   
121000  , 45685   
131000  , 53733   
141000  , 61909   
151000  , 71406   
161000  , 81342   
171000  , 91937   
181000  , 102935  
191000  , 115172  
201000  , 127587  
211000  , 142737  
221000  , 155831  
231000  , 176093  
241000  , 190614  
251000  , 206492  
261000  , 8366295 
